name,class_x,model,mag,mean_sb,re,n,b/a,pa,align,ra,dec,z,class_y,inst,filter,scale,color,M200,e_M200
RCS1511+09,1,Sersic,-23.975,22.327,6.495,4.35,0.79,137,33,227.7654,9.0533,0.97,1,ACS_WFC,F850LP,7.913,F775W-F850LP,1.9,0.8
ClGJ1604+4304,2,Sersic,-24.364,22.737,10.716,4.87,0.74,121,99,241.1003,43.0772,0.9,2,ACS_WFC,F850LP,7.757,F814W-F850LP,2.2,2.1
ClGJ1604+4304,2,Sersic,-24.364,22.737,10.716,4.87,0.74,121,99,241.1029,43.0741,0.9,1,ACS_WFC,F850LP,7.757,F814W-F850LP,2.2,2.1
ClGJ1604+4304,1,Sersic,-24.724,23.643,19.195,7.29,0.76,22,99,241.1003,43.0772,0.9,2,ACS_WFC,F850LP,7.757,F814W-F850LP,2.2,2.1
ClGJ1604+4304,1,Sersic,-24.724,23.643,19.195,7.29,0.76,22,99,241.1029,43.0741,0.9,1,ACS_WFC,F850LP,7.757,F814W-F850LP,2.2,2.1
RCS1620+29,1,Sersic,-23.819,22.501,6.405,5.03,0.78,93,99,245.0423,29.4901,0.8696,1,ACS_WFC,F814W,7.68,,7.57,1.04
SPT-CLJ2040-5725,1,Sersic,-24.933,25.728,41.119,6.96,0.83,15,6,310.0551,-57.4208,0.93,1,ACS_WFC,F814W,7.827,F606W-F814W,5.69,1.35
SPT-CLJ2043-5035,1,Sersic,-24.501,23.233,16.648,2.74,0.67,111,99,310.8233,-50.5923,0.723,1,ACS_WFC,F814W,7.21,F606W-F814W,99.9,99.9
XMMUJ2205-0159,1,Sersic,-25.794,25.354,42.005,5.36,0.64,18,99,331.4611,-1.9917,1.12,1,ACS_WFC,F850LP,8.159,F775W-F850LP,3.0,1.0
XMMXCSJ2215.9-1738,1,Sersic,-23.698,20.249,2.019,6.25,0.61,93,48,333.9973,-17.634,1.45,1,WFC3_IR,F160W,8.401,F850LP-F125W,4.3,1.7
SPT-CLJ2331-5051,1,Sersic,-25.302,24.013,46.462,5.24,0.73,8,20,352.9631,-50.865,0.5707,1,ACS_WFC,F814W,6.509,F606W-F814W,8.96,1.86
SPT-CLJ2342-5411,1,Sersic,-25.128,24.448,19.462,3.45,0.68,7,42,355.6913,-54.1848,1.08,1,ACS_WFC,F814W,8.104,F606W-F814W,6.15,1.49
RCS2345-3632,1,Sersic,-24.659,22.317,11.956,8.04,0.75,28,56,356.3729,-36.5461,1.04,1,WFC3_IR,F160W,8.041,F105W-F160W,2.4,0.7
SPT-CLJ2359-5009,2,Sersic,-24.486,22.655,11.804,3.19,0.75,123,6,359.9286,-50.1672,0.77,2,ACS_WFC,F814W,7.38,,6.92,1.61
SPT-CLJ2359-5009,2,Sersic,-24.486,22.655,11.804,3.19,0.75,123,6,359.9326,-50.1723,0.77,1,ACS_WFC,F814W,7.38,,6.92,1.61
SPT-CLJ2359-5009,1,Sersic,-24.766,23.726,21.984,4.15,0.69,123,6,359.9286,-50.1672,0.77,2,ACS_WFC,F814W,7.38,,6.92,1.61
SPT-CLJ2359-5009,1,Sersic,-24.766,23.726,21.984,4.15,0.69,123,6,359.9326,-50.1723,0.77,1,ACS_WFC,F814W,7.38,,6.92,1.61
