Galaxy ID,Ks,ae,n,epsilon,stellar_mass,z,R.A.,Dec.,Spec.
13057508,17.01,0.98,1.16,0.39,40.74,0.98,215.40773,53.184238,0
13057554,18.17,0.7,0.27,0.43,11.21,1.01,215.405838,53.211781,1
13057673,19.32,0.34,3.25,0.57,13.25,1.47,215.320251,53.228237,0
13057724,18.87,1.73,0.85,0.84,13.52,1.09,215.29361,53.189182,0
13057793,18.76,0.31,2.69,0.26,11.8,1.06,215.266785,53.229191,0
13057910,18.19,0.65,1.7,0.17,10.42,0.89,215.308136,53.205662,1
13058049,18.93,1.44,0.34,0.76,10.46,1.04,215.292908,53.2145,0
13058065,19.37,0.22,5.13,0.38,15.47,1.69,215.307281,53.235767,0
13058080,18.36,1.64,2.55,0.58,18.42,1.13,215.291931,53.224567,0
13058137,18.67,0.29,7.04,0.48,12.63,1.2,215.239182,53.211597,1
13058162,17.49,0.38,4.48,0.32,13.45,0.89,215.291672,53.186947,1
13058210,18.71,0.25,6.91,0.22,10.37,1.17,215.318192,53.204201,1
13058659,18.74,0.51,2.57,0.23,14.47,1.21,215.221161,53.193832,0
13063686,19.61,0.06,2.39,0.35,12.19,1.69,215.442062,53.238468,0
13063750,18.67,0.1,5.5,0.49,42.79,1.85,215.422272,53.247288,0
13063870,17.78,0.54,1.79,0.35,22.57,0.93,215.431595,53.251293,0
13063989,18.49,0.49,0.63,0.05,17.18,1.16,215.353455,53.259651,1
13064044,18.57,0.43,1.66,0.1,21.05,1.27,215.413025,53.257317,0
13064111,18.99,0.44,1,0.08,13.65,1.23,215.383148,53.265701,0
13064121,18.42,0.25,4.26,0.31,21.4,1.22,215.407501,53.256588,0
13064227,18.42,0.23,4.8,0.05,19.91,1.12,215.358994,53.246536,0
13064313,17.19,0.35,4.64,0.35,45.66,1.01,215.366241,53.254475,0
13064594,17.31,0.7,4.99,0.35,30.19,0.81,215.309982,53.266045,0
13064634,17.73,0.28,7.09,0.7,22.83,0.91,215.309921,53.25869,1
13064645,18.66,0.12,6.45,0.35,12.37,1.21,215.318573,53.250759,1
13100060,19.83,0.84,0.53,0.54,10.23,1.68,214.883453,52.819065,0
13100275,18.48,0.93,1.59,0.79,34.38,1.52,214.870529,52.864906,0
13100302,19.37,0.15,3.14,0.56,13.39,1.52,214.844864,52.849339,0
13100480,18.99,0.55,0.75,0.7,21.65,1.61,215.107376,52.910202,0
13100487,19.06,0.51,0.55,0.71,21.99,1.75,215.108643,52.935062,0
13100925,19.23,1.22,1.56,0.86,15.51,1.56,215.256546,53.046658,0
13100931,18.6,0.2,5.98,0.05,19.69,1.34,215.263947,53.042198,0
13100932,19.44,0.68,0.19,0.35,12.84,1.69,215.263809,53.0429,0
13100949,19.16,0.22,0.1,0.37,16.82,1.6,215.14328,53.058075,0
13101015,18.99,0.09,5.24,0.42,15.53,1.71,215.003174,53.028095,0
13101029,18.57,0.43,2.16,0.25,11.71,1.05,215.012436,53.054768,0
13101045,17.8,0.25,2.34,0.41,35.37,1.11,214.925919,53.019421,1
13101278,19.22,1.3,1.27,0.79,20.47,1.68,215.113052,53.073627,0
13101979,17.76,0.85,0.94,0.24,16.9,0.99,214.886642,52.803055,1
13102019,17.61,0.67,2.51,0.58,11.92,0.86,214.956955,53.007061,0
13102021,16.94,1.15,2.18,0.47,33.85,0.84,215.010269,53.058617,0
13102028,17.93,0.76,5.88,0.07,12.77,0.9,215.137283,53.089458,1
14002856,18.46,0.81,0.24,0.33,40.05,1.5,215.322479,53.248005,0
14007697,18.85,0.44,3.98,0.28,12.21,1.89,215.357574,53.272987,0
14007876,18.87,0.15,4.91,0.2,20.11,1.41,215.324188,53.291809,0
14007997,17.98,0.39,4.59,0.28,18.66,0.87,215.307083,53.292236,1
14008053,18.28,0.26,7.48,0.41,14.12,0.94,215.325653,53.290066,0
