Galaxy ID,Ks,ae,n,epsilon,stellar_mass,z,R.A.,Dec.,Spec.
13035168,17.62,1.02,3.05,0.53,13.84,0.78,214.965912,53.044468,1
13035209,17.47,0.46,6.34,0.45,11.91,0.74,214.965866,53.010292,1
13035250,16.88,0.96,3.67,0.39,23.81,0.74,214.963242,53.01215,1
13035317,17.3,0.56,5.28,0.33,16.7,0.77,214.993835,53.02327,0
13035319,17.84,1.02,6.82,0.23,10.79,0.75,214.94928,53.022285,1
13035320,17.29,2.55,0.82,0.8,12.45,0.59,215.024841,53.022499,0
13035326,17.49,0.38,5.14,0.28,14.6,0.74,214.951523,53.014824,1
13035907,17.87,1,2.15,0.76,10.33,0.75,214.926056,53.019833,1
13036021,15.98,1.18,2.41,0.23,13.38,0.42,214.915985,53.012398,1
13040856,17.78,0.65,2.08,0.6,10.67,0.71,215.378754,53.091625,1
13040894,16.88,0.98,4.19,0.3,29.39,0.71,215.366898,53.105133,1
13041591,16.88,1.44,2.11,0.39,15.16,0.56,215.287399,53.078873,0
13041594,17.65,0.42,5.08,0.27,16.5,0.76,215.251328,53.075115,0
13041606,17.23,0.55,8.37,0.47,16.14,0.68,215.309052,53.117554,1
13041616,17.4,0.8,8.36,0.17,12.01,0.57,215.275085,53.109394,1
13041617,17.69,1.38,3.01,0.74,13.28,0.72,215.263199,53.109318,0
13041641,17.18,1.25,5.26,0.3,26.25,0.74,215.260269,53.097267,1
13041644,16.74,0.48,6.38,0.15,22.7,0.57,215.293152,53.094425,1
13041646,15.65,1.69,5.81,0.21,38.58,0.43,215.250244,53.093285,1
13041851,17.8,0.37,4.23,0.25,10.13,0.75,215.135162,53.077099,1
13042310,17.02,0.65,2.96,0.56,16.8,0.62,215.146515,53.116417,0
13042313,15.48,2.08,2,0.41,15.72,0.2,215.171631,53.113964,1
13042327,16.08,1.53,5.72,0.2,16.61,0.35,215.202576,53.106636,1
13042334,17.16,0.62,4.47,0.14,16.84,0.65,215.150864,53.103703,1
13042352,17.44,0.66,7.54,0.31,16.06,0.74,215.190002,53.091988,1
13042376,16.69,0.63,1.7,0.27,13.63,0.55,215.192017,53.076923,1
13043719,14.97,2.97,6.83,0.35,19.27,0.25,215.029221,53.085285,1
13048575,17.19,0.93,5.54,0.52,10.13,0.68,215.448822,53.173264,0
13049116,16.72,0.65,2.12,0.62,11.85,0.62,215.395905,53.177654,1
13049169,16.75,0.44,3.97,0.63,11.71,0.44,215.378387,53.162498,0
13049185,17.3,0.93,2.15,0.2,10.15,0.59,215.355057,53.153458,0
13049744,17.35,0.8,4.12,0.54,17,0.7,215.260971,53.150326,0
13049802,17.41,1.23,1.21,0.74,10.83,0.61,215.316132,53.155167,0
13049834,17.51,0.55,4.26,0.19,10.28,0.55,215.245132,53.16716,1
13049840,17.42,0.53,5.77,0.35,18.37,0.73,215.286774,53.162884,0
13049851,15.44,1.93,2.4,0.11,14.61,0.2,215.231674,53.154739,1
13049852,17.14,0.52,5.23,0.16,16.39,0.59,215.243225,53.154499,0
13049857,16.72,1.44,5.22,0.15,33.8,0.69,215.258392,53.152149,0
13049865,16.81,0.38,1.84,0.37,20.65,0.68,215.243637,53.145569,1
13049885,16.56,1.08,3.72,0.43,23.51,0.54,215.319382,53.135155,0
13049894,15.48,1.22,6.05,0.29,35.09,0.35,215.288208,53.128666,1
13050001,18.21,0.78,5.34,0.17,10.43,0.8,215.132324,53.149483,0
13050348,17.94,0.63,1.94,0.77,13.85,0.78,215.138458,53.137783,0
13050471,17.56,0.52,9.53,0.47,13.21,0.7,215.161407,53.143314,0
13050476,17.98,0.58,4.62,0.24,11.24,0.79,215.149704,53.139072,0
13050505,17.24,1.06,4.99,0.23,18.62,0.74,215.182678,53.173515,1
13050585,17.21,1.07,3.38,0.11,22.55,0.74,215.131454,53.148975,1
13050602,17.29,0.7,6.18,0.22,19.16,0.74,215.166473,53.138199,1
13050937,17.59,0.75,5.77,0.31,17.33,0.76,215.111191,53.126072,0
13056827,17.36,0.75,2.47,0.41,23.95,0.76,215.486099,53.221027,0
13056857,17.58,1.93,0.37,0.62,10.47,0.66,215.481216,53.226604,0
13056869,17.06,0.5,5.71,0.54,10.25,0.72,215.424591,53.219746,0
13057219,16.56,0.47,5.39,0.15,20.04,0.62,215.397125,53.187698,1
13057497,17.03,1.33,1.57,0.31,15.47,0.71,215.344147,53.208141,0
13057498,16.91,1.01,5.35,0.44,11.67,0.57,215.360641,53.205845,0
13057578,16.69,1.07,7.05,0.62,11.42,0.6,215.369751,53.195877,0
13057582,17.35,1.03,0.85,0.53,10.48,0.67,215.36235,53.193756,1
13057591,16.24,1.32,5.54,0.28,15.66,0.56,215.329636,53.185982,1
13057917,16.94,0.92,2.34,0.68,15.21,0.51,215.262131,53.198875,1
13058121,17.71,0.61,1.91,0.53,12.35,0.67,215.272507,53.188282,0
13058176,17.49,0.47,2.67,0.63,18.16,0.74,215.255157,53.228943,1
13058191,15.81,1.02,3.59,0.14,53.41,0.74,215.236862,53.218815,1
13058803,17.06,0.71,7.06,0.27,18.04,0.64,215.212097,53.206917,1
13058839,15.72,2.79,8.18,0.22,32.2,0.35,215.170624,53.183544,1
13102000,17.53,0.97,6.52,0.18,17.48,0.78,214.814682,52.91592,1
13102022,17.61,1.01,5.76,0.09,11.4,0.74,214.962906,53.012798,1
11044526,17.35,0.57,6.29,0.61,25.12,0.82,214.342346,52.355976,1
11044623,18.42,0.79,0.93,0.42,12.15,1.02,214.34874,52.357716,1
11044628,17.58,0.69,0.7,0.02,14.67,0.82,214.339508,52.354771,1
11050829,18.51,0.57,1.4,0.38,11.83,0.97,214.375122,52.393421,0
11050845,17.4,1.12,5.97,0.36,31.15,0.84,214.381851,52.397614,1
11051050,19.43,0.73,0.52,0.47,19.3,1.72,214.314789,52.362488,0
11051115,18.37,0.4,1.1,0.5,14.63,0.9,214.308411,52.392376,1
11051133,18.4,0.49,2.84,0.56,15.38,1.13,214.328918,52.363266,1
11051137,19.08,0.21,2.15,0.66,13.81,1.5,214.337524,52.395538,0
11051152,18.57,0.81,1.09,0.68,12.87,1.01,214.287842,52.384727,1
11051160,18.09,0.22,4.77,0.2,13.45,0.81,214.329605,52.38192,1
11051201,17.24,0.63,7.04,0.05,38.65,0.9,214.362717,52.381748,1
11051230,18.2,0.96,1.7,0.56,18,0.99,214.341278,52.396034,1
11101415,18.6,0.62,3,0.52,36.79,1.68,214.250565,52.38451,0
12003637,17.47,0.75,5.37,0.33,37.58,1.03,214.428192,52.415375,1
12003738,18.13,0.47,6,0.6,14.86,0.95,214.45575,52.448051,1
12003870,18.73,0.28,2.81,0.53,16.14,1.29,214.394623,52.427841,0
12003885,18.46,0.6,2.86,0.6,19.09,1.12,214.390869,52.418224,0
12003949,18.07,1.31,1.7,0.49,13.96,0.9,214.380402,52.435986,1
12003952,18.65,0.24,5.08,0.32,23.04,1.34,214.334335,52.421818,0
12003958,17.53,1.39,4.12,0.44,35.17,1,214.370667,52.406349,1
12003967,19.04,0.12,5.48,0.02,22.38,1.83,214.385696,52.446476,0
12004025,18.08,0.26,4.63,0.6,11.65,0.81,214.399948,52.431995,1
12004040,18.08,0.51,4.6,0.75,16.11,0.96,214.410599,52.451645,0
12004059,18.39,0.45,2.48,0.45,18.25,1.11,214.348343,52.431973,0
12004066,18.23,0.75,4.91,0.67,19.37,1.02,214.373581,52.425797,1
12004068,16.93,0.43,5.06,0.33,82.28,0.9,214.38678,52.422817,1
12004107,18.83,0.35,2.02,0.31,10.02,1.21,214.352951,52.442524,0
12004110,17.24,1.11,4.28,0.07,52.98,0.9,214.345169,52.436481,1
12004113,17.75,0.17,5.07,0.66,22.14,0.84,214.367599,52.43264,0
12004125,18.09,1.79,0.91,0.82,21.51,1,214.362183,52.413876,0
12004136,17.78,0.44,6.01,0.32,16.07,0.81,214.40538,52.447327,1
12004138,16.72,0.94,4.94,0.23,69.47,0.81,214.398605,52.446072,1
12004158,18.07,0.67,3.77,0.51,13.51,0.88,214.414703,52.427116,0
12004159,18.1,1.31,2.64,0.76,11.61,0.91,214.40683,52.42453,1
12004230,17.57,0.42,4.17,0.25,44.23,1.03,214.254852,52.452003,1
12004254,18.72,0.38,4.28,0.8,10.53,0.98,214.234558,52.431122,0
12004280,18.32,0.71,1.5,0.03,13.09,1.02,214.253601,52.45039,1
12004334,18.65,1.35,2.85,0.68,13.66,1.1,214.290039,52.445374,0
12004351,17.06,0.59,1.58,0.77,65.87,1.02,214.257843,52.449738,1
12004358,18.37,0.5,3.84,0.31,22.9,1.24,214.280106,52.435898,0
12004391,18.26,0.83,0.32,0.35,23.91,1.29,214.326889,52.440338,1
12004426,18.74,0.28,4.38,0.3,12.16,1.23,214.239075,52.444637,1
12004428,18.36,0.73,1.72,0.66,16.34,1.12,214.287216,52.431576,0
12004457,17.7,0.46,2.76,0.57,18.94,0.81,214.31752,52.405983,1
12004516,17.87,0.47,4.81,0.13,16.17,0.82,214.287384,52.411396,1
12004519,17.75,0.64,6.89,0.3,13.56,0.92,214.286942,52.408405,0
12004590,18.57,0.37,4.27,0.43,14.48,1.16,214.205612,52.423477,0
12004612,18.09,0.33,4.46,0.3,18.16,0.98,214.172592,52.449638,0
12004740,18.72,0.23,4.89,0.15,12.26,1,214.217957,52.433517,0
12004754,17.74,0.66,1.03,0.14,21.14,1.03,214.175491,52.422039,1
12004823,17.97,1.35,0.49,0.65,10.91,0.83,214.233047,52.449768,1
12004838,17.25,0.6,3.26,0.43,41.76,0.96,214.194595,52.431068,0
12007561,17.66,0.59,4.39,0.01,24.66,0.95,214.530457,52.50824,0
12007683,18.14,0.54,2.15,0.77,14.75,1,214.458435,52.474598,1
12007715,18.33,0.17,4.4,0.4,17.04,0.98,214.42807,52.467678,0
12007881,17.79,1.22,1.11,0.61,19.7,1.16,214.514725,52.506245,1
12007894,18.19,0.7,1.69,0.24,11.5,0.89,214.434067,52.479122,0
12007928,19.2,0.16,0.19,0.43,11.33,1.86,214.450409,52.49538,0
12007933,17.59,0.84,5.58,0.4,30.07,1,214.466599,52.491589,1
12007936,18.22,0.42,2.1,0.16,11.1,0.99,214.473557,52.489731,1
12007954,16.45,0.08,0.11,0.87,28.32,1.15,214.424484,52.473171,1
12007959,18.53,0.36,5.52,0.35,11.94,1,214.425354,52.469002,1
12007962,17.61,0.52,1.98,0.41,40.65,1,214.454926,52.467644,1
12008017,18.12,1.26,5.01,0.61,21.01,1.16,214.413788,52.480659,0
12008055,18.11,0.34,0.24,0.28,12.58,0.9,214.38681,52.460361,1
12008091,18.5,0.21,7.08,0.64,15.16,1.21,214.33046,52.46558,1
12008117,18.29,0.45,4.97,0.3,15.41,0.95,214.42038,52.505989,0
12008124,18.05,0.47,4.64,0.32,17.82,0.91,214.349808,52.491379,0
12008137,18.22,0.64,0.34,0.29,12.99,0.99,214.390686,52.456902,1
12008209,18.95,0.42,0.62,0.41,10.86,1.23,214.374603,52.472652,0
12008344,18.43,0.3,4.56,0.33,18.97,1.53,214.294434,52.47673,0
12008357,18.69,0.28,1.93,0.24,10.34,1.18,214.327988,52.503178,0
12008360,18.18,0.21,6.63,0,10.52,0.83,214.31955,52.491371,1
12008441,18.05,0.83,4.05,0.44,10.71,0.83,214.319778,52.477654,1
12008481,17.75,0.99,0.79,0.55,51.95,1.23,214.291901,52.477413,1
12008633,18.49,0.36,6.84,0.27,18.13,1.06,214.201843,52.466217,0
12008723,19.02,0.27,3.26,0.43,16.28,1.64,214.176758,52.489689,0
12008758,18.4,0.45,7.52,0.2,14.97,0.98,214.2173,52.456436,0
12008798,17.65,0.65,1.07,0.39,15.58,0.84,214.21463,52.470528,1
12008846,17.96,0.65,3.26,0.39,12.77,0.83,214.211655,52.471519,1
12008896,17.54,0.65,1.2,0.28,13.5,0.83,214.203094,52.46629,1
12008934,17.92,1.09,1.76,0.12,10.15,0.81,214.201401,52.480621,0
12008946,16.57,1,4.98,0.11,78.34,0.83,214.199203,52.467751,1
12009154,17.3,0.54,4.56,0.11,38.28,0.83,214.131485,52.452332,1
12011454,18.14,0.94,3.31,0.58,14.74,1.17,214.622101,52.56374,0
12011549,18.95,0.25,1.86,0.41,17.33,1.5,214.546921,52.527966,0
12011637,18.87,0.85,0.78,0.75,15.89,1.38,214.538528,52.520271,0
12011658,19.21,0.62,1.49,0.27,10.36,1.21,214.571808,52.543282,0
12011663,17.84,1.12,3.64,0.32,30.97,1.19,214.553925,52.530518,1
12011709,17.6,0.15,4.65,0.42,19.11,0.85,214.523224,52.52243,0
12011767,18.53,1.1,2.13,0.1,13.78,1.28,214.603027,52.548756,1
12011768,18.04,1.68,1.44,0.78,21.45,1.02,214.553253,52.547695,0
12011779,18.21,0.68,0.22,0.33,18.27,1.03,214.525711,52.535717,0
12011795,18.3,0.18,3.95,0.47,11.96,0.88,214.519745,52.516582,0
12011810,17.78,0.45,4.17,0.29,31.17,1.04,214.531555,52.554432,0
12011886,18.44,0.31,5.57,0.15,11.94,1.08,214.569672,52.523071,1
12011925,18.77,0.58,4.54,0.5,14.9,1.24,214.506195,52.530521,0
12011991,19,0.25,2.27,0.35,17.39,1.57,214.441208,52.56448,0
12012009,19.23,0.45,2.48,0.19,13.25,1.57,214.463531,52.511318,0
12012044,18.66,0.41,4.79,0.37,18.88,1.35,214.431244,52.525265,0
12012085,18.64,0.54,1.64,0.48,18.03,1.27,214.469131,52.52515,0
12012154,17.83,0.2,5.04,0.49,16.6,0.82,214.448654,52.566975,1
12012183,18.32,1.05,1.18,0.31,10.8,0.98,214.467438,52.514729,0
12012194,18.12,0.44,0.71,0.14,17.46,0.97,214.458939,52.56179,0
12012213,17.5,0.01,0.68,0.83,37.74,0.92,214.458801,52.543476,0
12012390,18.53,0.65,3.23,0.73,13.48,1.02,214.383957,52.533241,0
12012432,18.37,0.54,3.45,0.33,11.8,0.95,214.41507,52.541145,1
12012467,17.86,0.33,4.41,0.08,26.39,0.99,214.385986,52.534222,1
